,rank,workman_x,wo_dpl_x,wo_dpj_x,workman_y,wo_dpl_y,wo_dpj_y,workman_x,wo_dpl_x,wo_dpj_x,workman_y,wo_dpl_y,wo_dpj_y
0,1,792.87,132.145,158.574,792.87,132.145,158.574,792.87,132.145,158.574,792.87,132.145,158.574
1,2,660.57,132.114,165.142,660.57,132.114,165.142,660.57,132.114,165.142,660.57,132.114,165.142
2,3,919.32,131.331,153.22,919.32,131.331,153.22,919.32,131.331,153.22,919.32,131.331,153.22
3,4,900.43,128.633,150.072,900.43,128.633,150.072,900.43,128.633,150.072,900.43,128.633,150.072
4,5,640.47,128.094,160.118,640.47,128.094,160.118,640.47,128.094,160.118,640.47,128.094,160.118
5,6,895.88,127.983,149.313,895.88,127.983,149.313,895.88,127.983,149.313,895.88,127.983,149.313
6,7,1148.28,127.587,143.535,1148.28,127.587,143.535,1148.28,127.587,143.535,1148.28,127.587,143.535
7,8,892.19,127.456,148.698,892.19,127.456,148.698,892.19,127.456,148.698,892.19,127.456,148.698
8,9,886.29,126.613,147.715,886.29,126.613,147.715,886.29,126.613,147.715,886.29,126.613,147.715
9,10,883.78,126.254,147.297,883.78,126.254,147.297,883.78,126.254,147.297,883.78,126.254,147.297
10,11,881.21,125.887,146.868,881.21,125.887,146.868,881.21,125.887,146.868,881.21,125.887,146.868
11,12,1255.67,125.567,139.519,1255.67,125.567,139.519,1255.67,125.567,139.519,1255.67,125.567,139.519
12,13,1004.36,125.545,143.48,1004.36,125.545,143.48,1004.36,125.545,143.48,1004.36,125.545,143.48
13,14,627.48,125.496,156.87,627.48,125.496,156.87,627.48,125.496,156.87,627.48,125.496,156.87
14,15,874.36,124.909,145.727,874.36,124.909,145.727,874.36,124.909,145.727,874.36,124.909,145.727
15,16,995.76,124.47,142.251,995.76,124.47,142.251,995.76,124.47,142.251,995.76,124.47,142.251
16,17,994.94,124.368,142.134,994.94,124.368,142.134,994.94,124.368,142.134,994.94,124.368,142.134
17,18,1119.15,124.35,139.894,1119.15,124.35,139.894,1119.15,124.35,139.894,1119.15,124.35,139.894
18,19,868.32,124.046,144.72,868.32,124.046,144.72,868.32,124.046,144.72,868.32,124.046,144.72
19,20,989.47,123.684,141.353,989.47,123.684,141.353,989.47,123.684,141.353,989.47,123.684,141.353
