rank,length,qwwords,qwerty,qw_dpl,qw_dpj,dvwords,dvorak,dv_dpl,dv_dpj,cowords,colemak,co_dpl,co_dpj,wowords,workman,wo_dpl,wo_dpj
1,3,OII,19.05,6.35,9.525,HHD,19.05,6.35,9.525,HHD,19.05,6.35,9.525,CCM,19.05,6.35,9.525
2,3,AAS,19.05,6.35,9.525,XXI,21.3,7.1,10.65,OII,19.05,6.35,9.525,OII,19.05,6.35,9.525
3,3,TTY,19.05,6.35,9.525,VSS,21.3,7.1,10.65,ULL,19.05,6.35,9.525,GTT,19.05,6.35,9.525
4,3,ERR,19.05,6.35,9.525,JEE,21.3,7.1,10.65,DDT,19.05,6.35,9.525,AAS,19.05,6.35,9.525
5,3,OPP,19.05,6.35,9.525,XII,21.3,7.1,10.65,ARR,19.05,6.35,9.525,NEE,19.05,6.35,9.525
6,3,REE,19.05,6.35,9.525,PEE,23.81,7.937,11.905,TSS,19.05,6.35,9.525,EEN,19.05,6.35,9.525
7,3,WEE,19.05,6.35,9.525,IFF,23.81,7.937,11.905,NEE,19.05,6.35,9.525,ASS,19.05,6.35,9.525
8,3,ASS,19.05,6.35,9.525,PPI,30.49,10.163,15.245,EEN,19.05,6.35,9.525,SAA,19.05,6.35,9.525
9,3,EER,19.05,6.35,9.525,GTT,30.49,10.163,15.245,PPT,19.64,6.547,9.82,SHH,19.05,6.35,9.525
10,3,SAA,19.05,6.35,9.525,KEE,34.34,11.447,17.17,PTT,19.64,6.547,9.82,OPP,19.64,6.547,9.82
11,3,GTT,19.64,6.547,9.82,NTH,38.1,12.7,19.05,EMM,21.3,7.1,10.65,EEL,21.3,7.1,10.65
12,3,DEE,19.64,6.547,9.82,CRL,38.1,12.7,19.05,MEE,21.3,7.1,10.65,ELL,21.3,7.1,10.65
13,3,LOO,19.64,6.547,9.82,GRR,38.1,12.7,19.05,UNN,23.81,7.937,11.905,LEE,21.3,7.1,10.65
14,3,ESS,23.81,7.937,11.905,TNT,38.1,12.7,19.05,SSP,23.81,7.937,11.905,UNN,23.81,7.937,11.905
15,3,SEE,23.81,7.937,11.905,TSS,38.1,12.7,19.05,SPP,23.81,7.937,11.905,PEE,23.81,7.937,11.905
1,4,POOP,38.1,9.525,12.7,XXII,21.3,5.325,7.1,IEEE,19.05,4.762,6.35,IEEE,38.1,9.525,12.7
2,4,SASS,38.1,9.525,12.7,XIII,21.3,5.325,7.1,LULL,38.1,9.525,12.7,VVLL,38.1,9.525,12.7
3,4,WEER,38.1,9.525,12.7,IEEE,38.1,9.525,12.7,PTTS,38.69,9.672,12.897,PUFF,38.1,9.525,12.7
4,4,TREE,38.1,9.525,12.7,VVLL,38.4,9.6,12.8,NEEM,40.35,10.088,13.45,FUFF,38.1,9.525,12.7
5,4,REED,38.69,9.672,12.897,EPPY,42.86,10.715,14.287,RAZZ,40.35,10.088,13.45,SASS,38.1,9.525,12.7
6,4,DEER,38.69,9.672,12.897,DIFF,42.86,10.715,14.287,KNEE,40.35,10.088,13.45,BRRR,38.1,9.525,12.7
7,4,POLL,38.69,9.672,12.897,IFFY,42.86,10.715,14.287,GPSS,42.86,10.715,14.287,POOP,39.28,9.82,13.093
8,4,WEED,38.69,9.672,12.897,JEEP,45.11,11.278,15.037,NULL,42.86,10.715,14.287,KNEE,40.35,10.088,13.45
9,4,FREE,38.69,9.672,12.897,EPEE,47.62,11.905,15.873,LUNN,42.86,10.715,14.287,NELL,40.35,10.088,13.45
10,4,REDD,38.69,9.672,12.897,PEEP,47.62,11.905,15.873,WAAR,42.86,10.715,14.287,LLEU,40.94,10.235,13.647
11,4,POOL,38.69,9.672,12.897,PIFF,54.3,13.575,18.1,PSST,42.86,10.715,14.287,ELLE,42.6,10.65,14.2
12,4,LOOP,38.69,9.672,12.897,EJOO,55.64,13.91,18.547,NELL,49.54,12.385,16.513,PEEN,42.86,10.715,14.287
13,4,DEDD,39.28,9.82,13.093,BRRR,57.35,14.338,19.117,LLEU,50.13,12.532,16.71,NEEP,42.86,10.715,14.287
14,4,DEED,39.28,9.82,13.093,POOA,57.45,14.362,19.15,MELL,51.79,12.948,17.263,ADDR,42.86,10.715,14.287
15,4,LOLL,39.28,9.82,13.093,PUFF,58.04,14.51,19.347,KENN,53.39,13.348,17.797,SAAD,42.86,10.715,14.287
1,5,DEESS,43.45,8.69,10.862,XXIII,21.3,4.26,5.325,KNEEL,70.84,14.168,17.71,ADDDA,47.62,9.524,11.905
2,5,ESSEE,47.62,9.524,11.905,PUPPY,58.33,11.666,14.582,KNELL,70.84,14.168,17.71,UPPOP,58.33,11.666,14.582
3,5,REREE,57.15,11.43,14.288,KIKKI,63.9,12.78,15.975,ENNUI,73.35,14.67,18.338,LENNY,59.4,11.88,14.85
4,5,ERRED,57.74,11.548,14.435,PEEPY,66.67,13.334,16.668,LLUDD,74.79,14.958,18.698,KNEEL,61.65,12.33,15.412
5,5,SWEER,57.74,11.548,14.435,PEPPY,66.67,13.334,16.668,SARRA,76.2,15.24,19.05,KNELL,61.65,12.33,15.412
6,5,FREER,57.74,11.548,14.435,DIPPY,68.59,13.718,17.148,ARRAS,76.2,15.24,19.05,NEELE,61.65,12.33,15.412
7,5,REEDS,57.74,11.548,14.435,DIDDY,68.59,13.718,17.148,LULLY,76.2,15.24,19.05,ELLEN,61.65,12.33,15.412
8,5,REDDS,57.74,11.548,14.435,KIDDY,70.84,14.168,17.71,ARARA,76.2,15.24,19.05,PUNNY,61.91,12.382,15.478
9,5,TREED,57.74,11.548,14.435,KIPPY,70.84,14.168,17.71,ULULU,76.2,15.24,19.05,PUFFY,61.91,12.382,15.478
10,5,WEEDS,57.74,11.548,14.435,IDDHI,76.2,15.24,19.05,RAFFS,77.09,15.418,19.272,FUNNY,61.91,12.382,15.478
11,5,EDDER,58.33,11.666,14.582,DUPPY,76.79,15.358,19.198,LUMME,78.75,15.75,19.688,FUFFY,61.91,12.382,15.478
12,5,FREED,58.33,11.666,14.582,PUFFY,77.09,15.418,19.272,ELLEN,80.03,16.006,20.008,PENNY,61.91,12.382,15.478
13,5,DEEDS,58.33,11.666,14.582,QUIFF,77.2,15.44,19.3,NEELE,80.03,16.006,20.008,PEELE,66.41,13.282,16.602
14,5,RFREE,58.33,11.666,14.582,JIFFY,77.2,15.44,19.3,WARST,80.96,16.192,20.24,FENNY,68.59,13.718,17.148
15,5,KIKKI,58.92,11.784,14.73,BIFFY,77.2,15.44,19.3,FRASS,80.96,16.192,20.24,OOLLY,68.68,13.736,17.17
1,6,WEEWEE,57.15,9.525,11.43,DIPPPY,68.59,11.432,13.718,ENNUYE,85.72,14.287,17.144,UPPUFF,57.15,9.525,11.43
2,6,SEEWEE,61.91,10.318,12.382,YIPPEE,73.94,12.323,14.788,ENLEEN,88.23,14.705,17.646,POLLEE,75.28,12.547,15.056
3,6,POOKOO,66.67,11.112,13.334,UPPUFF,77.68,12.947,15.536,UNHULL,100.31,16.718,20.062,UPPULL,76.5,12.75,15.3
4,6,ASSESS,66.67,11.112,13.334,KIDDIE,97.5,16.25,19.5,NULLUM,100.31,16.718,20.062,ENLEEN,80.7,13.45,16.14
5,6,SEESEE,71.43,11.905,14.286,BHIKKU,102.0,17.0,20.4,UNMEEK,100.75,16.792,20.15,FUNNEL,83.21,13.868,16.642
6,6,SWEERT,76.79,12.798,15.358,QUIPPY,102.93,17.155,20.586,KENNEL,102.93,17.155,20.586,POPPEL,84.39,14.065,16.878
7,6,POLLOI,77.38,12.897,15.476,QUIPPU,103.52,17.253,20.704,LIENEE,104.06,17.343,20.812,EPOPEE,86.9,14.483,17.38
8,6,REDDER,77.38,12.897,15.476,QUIPPE,107.69,17.948,21.538,AARRGH,105.28,17.547,21.056,FENNEL,89.89,14.982,17.978
9,6,WEEDER,77.38,12.897,15.476,BIDDIE,110.54,18.423,22.108,MULLEN,106.99,17.832,21.398,FELLEN,92.14,15.357,18.428
10,6,WEDDER,77.38,12.897,15.476,TIPPEE,111.45,18.575,22.29,MEEKEN,109.03,18.172,21.806,KENNEL,93.74,15.623,18.748
11,6,REEDER,77.38,12.897,15.476,CHIPPY,111.45,18.575,22.29,ARZAWA,109.27,18.212,21.854,POLLEN,94.33,15.722,18.866
12,6,WEEDED,77.97,12.995,15.594,KIKUYU,111.52,18.587,22.304,KEENLY,111.13,18.522,22.226,KNUFFE,94.65,15.775,18.93
13,6,WEDDED,77.97,12.995,15.594,YUPPIE,112.04,18.673,22.408,HEMMEL,111.19,18.532,22.238,UNFEEL,95.24,15.873,19.048
14,6,REEDED,77.97,12.995,15.594,PUDDEE,114.89,19.148,22.978,MULLEY,111.75,18.625,22.35,OPPONE,96.43,16.072,19.286
15,6,REDEED,77.97,12.995,15.594,DIKDIK,115.04,19.173,23.008,BEEMEN,112.94,18.823,22.588,PULLEN,97.8,16.3,19.56
1,7,WEEWEED,76.79,10.97,12.798,PUPPIFY,112.63,16.09,18.772,ENNUYEE,85.72,12.246,14.287,KENNELL,93.74,13.391,15.623
2,7,WEDDEED,77.97,11.139,12.995,GIDDIFY,119.36,17.051,19.893,KENNELL,102.93,14.704,17.155,UNFUNNY,105.36,15.051,17.56
3,7,DEEDEED,78.56,11.223,13.093,DIFFIDE,142.87,20.41,23.812,AARRGHH,105.28,15.04,17.547,ENNUYEE,119.36,17.051,19.893
4,7,WEEWEES,80.96,11.566,13.493,PEEPEYE,148.23,21.176,24.705,SAWARRA,123.82,17.689,20.637,BUNNELL,121.31,17.33,20.218
5,7,SEERESS,85.72,12.246,14.287,QUIDDIT,148.64,21.234,24.773,BLUNNEN,125.89,17.984,20.982,AARRGHH,123.41,17.63,20.568
6,7,SWEERED,96.43,13.776,16.072,PYGIDID,152.7,21.814,25.45,CARRARA,127.49,18.213,21.248,POLYNEE,126.42,18.06,21.07
7,7,ASSEWER,100.01,14.287,16.668,CYDIPPE,160.99,22.999,26.832,GLEEMEN,130.24,18.606,21.707,FEOFFEE,126.94,18.134,21.157
8,7,ADDRESS,104.77,14.967,17.462,CHIPPIE,160.99,22.999,26.832,BUNNELL,130.7,18.671,21.783,ENFEOFF,135.14,19.306,22.523
9,7,AARRGHH,105.28,15.04,17.547,QUIPPED,164.84,23.549,27.473,TARRASS,133.35,19.05,22.225,UNFULLY,135.24,19.32,22.54
10,7,REDRESS,105.36,15.051,17.56,PUPPIED,165.02,23.574,27.503,ZAFFARS,136.2,19.457,22.7,LENGTHS,135.6,19.371,22.6
11,7,FRESSER,105.36,15.051,17.56,MIGHTNT,166.48,23.783,27.747,HELLENE,137.18,19.597,22.863,UPKNELL,138.05,19.721,23.008
12,7,DESSERT,105.36,15.051,17.56,MUDDIFY,169.35,24.193,28.225,SCHNELL,141.18,20.169,23.53,BELLEEK,141.72,20.246,23.62
13,7,TRESSED,105.36,15.051,17.56,DEQUEUE,169.94,24.277,28.323,JUNKMEN,142.61,20.373,23.768,KIPPEEN,142.69,20.384,23.782
14,7,RESEEDS,105.36,15.051,17.56,OUGHTNT,170.63,24.376,28.438,MOYENNE,143.69,20.527,23.948,KLIPPEN,143.69,20.527,23.948
15,7,CCESSER,107.36,15.337,17.893,GIDDIED,171.75,24.536,28.625,KNEEING,144.41,20.63,24.068,EUPIONE,145.38,20.769,24.23
1,8,ASSESSEE,90.48,11.31,12.926,EQUIPPED,186.14,23.268,26.591,KENNELLY,141.03,17.629,20.147,KENNELLY,128.08,16.01,18.297
2,8,SWEESWEE,101.19,12.649,14.456,CYDIPPID,186.72,23.34,26.674,ENKENNEL,143.28,17.91,20.469,ENKENNEL,134.09,16.761,19.156
3,8,ASSESSED,110.12,13.765,15.731,WHIGGIFY,192.1,24.012,27.443,UNKENNEL,148.04,18.505,21.149,UNKENNEL,138.85,17.356,19.836
4,8,ASSESSES,114.29,14.286,16.327,BOOKKEEP,197.26,24.658,28.18,ARRASTRA,152.4,19.05,21.771,LEEFULLY,143.58,17.948,20.511
5,8,DEERWEED,115.48,14.435,16.497,DIBBUKIM,198.57,24.821,28.367,JULIENNE,161.21,20.151,23.03,TUPPENNY,154.89,19.361,22.127
6,8,REWEDDED,116.07,14.509,16.581,DIFFIDED,200.02,25.002,28.574,ENNUYING,166.56,20.82,23.794,ENLENGTH,156.9,19.612,22.414
7,8,REASSESS,124.12,15.515,17.731,PUPPYING,201.08,25.135,28.726,MOULLEEN,166.79,20.849,23.827,FLUELLEN,160.38,20.048,22.911
8,8,RESEEDED,125.59,15.699,17.941,PYXIDIUM,207.53,25.941,29.647,KEENNESS,167.69,20.961,23.956,PENELOPE,161.0,20.125,23.0
9,8,SEESAWED,129.17,16.146,18.453,MUDPUPPY,212.68,26.585,30.383,UNKENNED,174.7,21.838,24.957,HADASSAH,161.92,20.24,23.131
10,8,MILLPOOL,131.39,16.424,18.77,QUIDDITY,213.42,26.678,30.489,CHEYENNE,175.11,21.889,25.016,POLYGYNY,164.52,20.565,23.503
11,8,REFERRER,137.18,17.148,19.597,THUIDIUM,221.74,27.718,31.677,UNMEEKLY,177.25,22.156,25.321,UNFLUFFY,165.4,20.675,23.629
12,8,REFEREED,137.77,17.221,19.681,PYGIDIUM,222.04,27.755,31.72,MENEHUNE,178.76,22.345,25.537,PENNEECH,165.59,20.699,23.656
13,8,REFERRED,137.77,17.221,19.681,DIDDIKAI,223.99,27.999,31.999,UNHEMMED,180.71,22.589,25.816,PENNEECK,169.35,21.169,24.193
14,8,DEFERRER,137.77,17.221,19.681,QUIFFING,224.12,28.015,32.017,EELGRASS,181.48,22.685,25.926,SHRADDHA,169.49,21.186,24.213
15,8,ASSERTER,138.11,17.264,19.73,PUPPYISM,224.51,28.064,32.073,TUNNELLY,185.38,23.172,26.483,ASTYLLEN,169.94,21.242,24.277
1,9,ADDRESSEE,128.58,14.287,16.073,OKUPUKUPU,193.75,21.528,24.219,KENNELLED,190.57,21.174,23.821,BRASSARDS,191.69,21.299,23.961
2,9,SEERESSES,133.34,14.816,16.668,HIPPIDIUM,225.57,25.063,28.196,ILLUMINEE,195.85,21.761,24.481,GLEEFULLY,194.87,21.652,24.359
3,9,DEERWEEDS,134.53,14.948,16.816,DIFFIDING,227.88,25.32,28.485,UNKNELLED,203.59,22.621,25.449,OPPONENCY,201.11,22.346,25.139
4,9,CRESSWEED,139.59,15.51,17.449,PUPPYFEET,228.37,25.374,28.546,NEEDLEMEN,206.74,22.971,25.842,BELLYFULL,201.68,22.409,25.21
5,9,ADDRESSER,147.63,16.403,18.454,HITCHHIKE,232.44,25.827,29.055,EELBLENNY,208.29,23.143,26.036,TEENFULLY,206.68,22.964,25.835
6,9,REDRESSER,148.22,16.469,18.528,PUPPYFISH,253.59,28.177,31.699,WARCRAFTS,218.53,24.281,27.316,MADRASSAH,208.75,23.194,26.094
7,9,ADDRESSED,148.22,16.469,18.528,EQUIPPING,258.78,28.753,32.347,UNKENNING,221.61,24.623,27.701,DRAHTHAAR,210.15,23.35,26.269
8,9,REDRESSED,148.81,16.534,18.601,RHIPIDIUM,263.97,29.33,32.996,UNKENNELS,221.97,24.663,27.746,EELBLENNY,210.26,23.362,26.282
9,9,ADDRESSES,152.39,16.932,19.049,PUPPYFOOT,265.61,29.512,33.201,EMBARRASS,223.42,24.824,27.928,OPPONENTS,210.73,23.414,26.341
10,9,REDRESSES,152.98,16.998,19.122,JOYPOPPED,266.89,29.654,33.361,NUMMULINE,223.72,24.858,27.965,PENNUCKLE,217.82,24.202,27.228
11,9,READDRESS,162.22,18.024,20.278,HICCUPPED,268.37,29.819,33.546,RADDLEMEN,225.79,25.088,28.224,NINEPENNY,219.07,24.341,27.384
12,9,GRASSWEED,163.61,18.179,20.451,EQUIPPERS,270.66,30.073,33.832,HULLOOING,226.29,25.143,28.286,BRASSARTS,221.59,24.621,27.699
13,9,GREEGREES,169.8,18.867,21.225,EPHIPPIUM,276.06,30.673,34.508,UNLENIENT,226.34,25.149,28.292,UNGLEEFUL,222.44,24.716,27.805
14,9,SWEETWEED,172.63,19.181,21.579,DIFFIDENT,276.22,30.691,34.528,UMBELLULE,226.87,25.208,28.359,PUPPYFEET,224.34,24.927,28.042
15,9,DEERGRASS,174.46,19.384,21.808,PUPPYHOOD,276.69,30.743,34.586,TUNNELMEN,228.32,25.369,28.54,UNLEVELLY,224.63,24.959,28.079
1,10,ASSERTRESS,142.87,14.287,15.874,HITCHHIKED,289.59,28.959,32.177,KENNELLING,234.85,23.485,26.094,THREEPENNY,226.22,22.622,25.136
2,10,ADDRESSEES,152.39,15.239,16.932,REEQUIPPED,297.32,29.732,33.036,UNKENNELED,235.68,23.568,26.187,FUNNELLING,229.75,22.975,25.528
3,10,DESERTRESS,167.27,16.727,18.586,LIGHTTIGHT,303.8,30.38,33.756,UNMEEKNESS,236.35,23.635,26.261,FUNNELLIKE,238.18,23.818,26.464
4,10,REASSESSED,167.57,16.757,18.619,BEEKEEPING,315.43,31.543,35.048,MILLENNIUM,237.78,23.778,26.42,KENNELLING,240.28,24.028,26.698
5,10,REASSESSES,171.74,17.174,19.082,HYPOPYGIUM,326.7,32.67,36.3,UNKNEELING,247.87,24.787,27.541,PENELOPINE,243.88,24.388,27.098
6,10,ADDRESSERS,186.03,18.603,20.67,BEEKEEPERS,327.31,32.731,36.368,CARRAGHEEN,250.96,25.096,27.884,POLLENLESS,251.23,25.123,27.914
7,10,BUTTRESSED,188.39,18.839,20.932,SHEEPIFIED,330.52,33.052,36.724,ENLINKMENT,261.55,26.155,29.061,UNKNEELING,253.3,25.33,28.144
8,10,BUTTRESSES,192.56,19.256,21.396,RIGIDIFIED,331.7,33.17,36.856,UNIMMINENT,263.94,26.394,29.327,UNEFFENESS,256.24,25.624,28.471
9,10,REASSERTED,196.15,19.615,21.794,OPHIDIIDAE,331.78,33.178,36.864,MEDDLEMENT,266.14,26.614,29.571,UNOPENNESS,257.76,25.776,28.64
10,10,DESTRESSED,204.55,20.455,22.728,BOOKKEEPER,332.25,33.225,36.917,STAATSRAAD,266.7,26.67,29.633,POLLENLIKE,270.6,27.06,30.067
11,10,EFFECTRESS,208.51,20.851,23.168,HIPPOGRIFF,335.3,33.53,37.256,UNDULLNESS,270.64,27.064,30.071,GRASSWARDS,275.59,27.559,30.621
12,10,BUTTERWEED,216.97,21.697,24.108,THUMBIKINS,336.78,33.678,37.42,EMBLEMENTS,272.67,27.267,30.297,STEENBRASS,275.81,27.581,30.646
13,10,WARDRESSES,217.65,21.765,24.183,QUEENRIGHT,338.35,33.835,37.594,STEENBRASS,275.13,27.513,30.57,STAATSRAAD,276.52,27.652,30.724
14,10,INTERESSEE,219.38,21.938,24.376,STICHIDIUM,339.39,33.939,37.71,SULLENNESS,275.36,27.536,30.596,LENGTHSMEN,276.81,27.681,30.757
15,10,HUNTRESSES,222.37,22.237,24.708,JOYPOPPING,339.53,33.953,37.726,SPLEENLESS,275.88,27.588,30.653,UNKENNELED,280.73,28.073,31.192
